inspection_ym,borough,avg_prcp,avg_snow,avg_snwd,avg_tmin,avg_tmax,avg_temp,covid_yn,boro_code,inspection_month_n,borough_monthly_cases,inspection_month
2015-8,Manhattan,1.3187679671457906,0,0,21.596837782340863,30.469691991786448,26.033264887063655,0,1,8,2435,Aug
2015-8,Queens,2.4765277777777777,0,0,21.840694444444445,30.487361111111113,26.16402777777778,0,4,8,720,Aug
2015-8,Staten Island,2.940816326530612,0,0,21.82081632653061,30.417551020408165,26.119183673469387,0,5,8,245,Aug
2015-9,Bronx,4.82956469165659,0,0,19.95910923014913,29.001269649334947,24.48018943974204,0,2,9,4962,Sep
2015-9,Brooklyn,3.055769230769231,0,0,19.11014423076923,28.31923076923077,23.7146875,0,1,9,2080,Sep
2015-9,Manhattan,3.138015322874863,0,0,19.729478292593942,28.649762860269973,24.189620576431956,0,1,9,2741,Sep
2015-9,Queens,3.4135040745052385,0,0,19.723981373690336,28.613853317811408,24.16891734575087,0,4,9,859,Sep
2015-9,Staten Island,5.9246835443037975,0,0,18.093670886075948,26.694303797468354,22.393987341772153,0,5,9,158,Sep
2016-1,Bronx,0.04682024659312135,0.25794938351719665,23.121349772874755,-3.3629785853341985,4.22874756651525,0.4328844905905258,0,2,1,3082,Jan
2016-1,Brooklyn,0.3996567505720824,0.34324942791762014,15.05720823798627,-3.1779176201372996,4.194965675057208,0.5085240274599543,0,1,1,1748,Jan
2016-1,Manhattan,0.021357615894039735,0.35596026490066224,23.561442236938927,-3.644885945548197,3.8611846946284034,0.1081493745401032,0,1,1,5436,Jan
2016-1,Queens,0.019966722129783693,0.33277870216306155,23.544093178036604,-3.894009983361065,3.9296173044925125,0.01780366056572369,0,4,1,601,Jan
2016-1,Staten Island,0.5656716417910448,0.32338308457711445,6.7164179104477615,-2.0223880597014925,5.033333333333333,1.5054726368159204,0,5,1,201,Jan
2016-10,Bronx,2.161846318036286,0,0,11.032363927427962,18.482710779082176,14.757537353255069,0,2,10,3748,Oct
2016-10,Brooklyn,3.1522469714732315,0,0,10.615084017194217,18.22000781555295,14.417545916373584,0,1,10,2559,Oct
2016-10,Manhattan,2.928297297297297,0,0,11.844878378378379,19.233945945945944,15.539412162162161,0,1,10,7400,Oct
2016-10,Queens,1.593888888888889,0,0,12.51925925925926,19.799351851851853,16.159305555555555,0,4,10,2160,Oct
2016-10,Staten Island,1.0317073170731708,0,0,11.211280487804878,19.583231707317072,15.397256097560975,0,5,10,328,Oct
2016-11,Bronx,5.1028813254096885,0,0,6.7361966504592115,13.514478660183684,10.125337655321449,0,2,11,5553,Nov
2016-11,Brooklyn,3.350903119868637,0,0,6.6035577449370555,13.188834154351396,9.896195949644225,0,1,11,3654,Nov
2016-11,Manhattan,4.968036461446503,0,0,6.974611476389719,13.75403466826061,10.364323072325165,0,1,11,6692,Nov
2016-11,Queens,7.220142421159715,0,0,6.765208545269583,13.566327568667345,10.165768056968464,0,4,11,983,Nov
2016-11,Staten Island,2.4700361010830325,0,0,6.994223826714801,14.410108303249098,10.702166064981949,0,5,11,277,Nov
2016-12,Bronx,2.064503284889508,0,0,0.9140155285685846,6.703105713716902,3.8085606211427434,0,2,12,5023,Dec
2016-12,Brooklyn,2.0786464410735124,0,0,1.034772462077013,6.7994554647996885,3.917113963438351,0,1,12,2571,Dec
2016-12,Manhattan,1.9053917824957995,0,0,1.308064762486635,7.261570184817473,4.284817473652054,0,1,12,6547,Dec
2016-12,Queens,1.9874360432063671,0,0,-0.036782262649232456,6.027231381466742,2.9952245594087548,0,4,12,1759,Dec
2016-12,Staten Island,2.07445652173913,0,0,1.2815217391304348,7.0630434782608695,4.172282608695652,0,5,12,184,Dec
2016-2,Bronx,3.5337329177655237,1.7067849436585951,2.984895708463198,0.5075041956365379,7.59815391992328,4.052829057779909,0,2,2,4171,Feb
2016-2,Brooklyn,3.333621262458472,1.2514950166112957,2.5282392026578075,0.768172757475083,8.028039867109635,4.398106312292359,0,1,2,3010,Feb
2016-2,Manhattan,4.511254131153244,1.567403026613324,3.779787789180727,0.9370325273960688,8.425326143677161,4.681179335536615,0,1,2,5749,Feb
2016-2,Queens,3.4376968503937007,0.8503937007874016,1.889763779527559,-0.3803149606299213,6.701771653543307,3.160728346456693,0,4,2,1016,Feb
2016-2,Staten Island,4.242301710730948,1.5116640746500778,0.9020217729393468,-0.6137636080870918,5.8165629860031105,2.6013996889580095,0,5,2,1286,Feb
2016-3,Bronx,1.186447959382933,0.8687756297598126,0,5.199628978715094,15.357371607107988,10.278500292911541,0,2,3,5121,Mar
2016-3,Brooklyn,0.9818524628800377,0.8095687013905256,0,5.5340325241574355,15.785623379684186,10.65982795192081,0,1,3,4243,Mar
2016-3,Manhattan,1.177199184228416,0.9847722637661455,0,5.213976886471788,15.355472467709042,10.284724677090415,0,1,3,7355,Mar
2016-3,Queens,1.3204329004329005,1.393939393939394,0,4.610995670995671,14.134458874458874,9.372727272727273,0,4,3,1155,Mar
2016-3,Staten Island,1.4867313915857605,1.8640776699029127,0,4.693851132686084,14.887702265372168,9.790776699029125,0,5,3,309,Mar
2016-4,Bronx,1.1291153736043515,0,0,7.538362439164042,17.27744059547667,12.407901517320356,0,2,4,3493,Apr
2016-4,Brooklyn,1.5164473684210527,0,0,6.785394736842106,16.61203947368421,11.698717105263157,0,1,4,3040,Apr
2016-4,Manhattan,1.4284200196270853,0,0,6.995897939156036,16.374367026496564,11.685132482826301,0,1,4,5095,Apr
2016-4,Queens,1.2439252336448599,0,0,7.653115264797508,17.85202492211838,12.752570093457944,0,4,4,1284,Apr
2016-4,Staten Island,1.067871485943775,0,0,7.812048192771084,17.64377510040161,12.727911646586346,0,5,4,249,Apr
2016-5,Bronx,1.7023237179487178,0,0,13.166446314102565,22.337820512820514,17.75213341346154,0,2,5,4992,May
2016-5,Brooklyn,1.917542070372259,0,0,12.630137684854667,21.370729219785822,17.000433452320244,0,1,5,1961,May
2016-5,Manhattan,1.7268733072524827,0,0,12.048690941919952,21.114083659343965,16.58138730063196,0,1,5,3323,May
2016-5,Queens,1.9963780418788908,0,0,11.89202037351443,20.420713073005093,16.15636672325976,0,4,5,1767,May
2016-5,Staten Island,2.413744075829384,0,0,11.610900473933649,20.40473933649289,16.00781990521327,0,5,5,211,May
2016-6,Bronx,1.3406794814483685,0,0,16.802726866338848,26.309745194456863,21.556236030397855,0,2,6,4474,Jun
2016-6,Brooklyn,1.383851753805427,0,0,17.797452018530773,27.000363997352746,22.39890800794176,0,1,6,3022,Jun
2016-6,Manhattan,1.503125,0,0,17.321533203125,26.2828369140625,21.80218505859375,0,1,6,4096,Jun
2016-6,Queens,1.3501002004008016,0,0,17.343386773547095,27.086072144288575,22.214729458917837,0,4,6,998,Jun
2016-6,Staten Island,1.3940251572327045,0,0,17.39874213836478,26.69182389937107,22.045283018867927,0,5,6,318,Jun
2016-7,Bronx,5.5146006655574045,0,0,21.99835690515807,31.050291181364393,26.52432404326123,0,2,7,4808,Jul
2016-7,Brooklyn,5.660701203558347,0,0,22.11266352694924,30.840763997906855,26.476713762428048,0,1,7,3822,Jul
2016-7,Manhattan,5.291708889912482,0,0,22.167457392906496,30.962551819438048,26.565004606172273,0,1,7,4342,Jul
2016-7,Queens,5.986951631046119,0,0,22.027896512935882,30.751631046119236,26.38976377952756,0,4,7,889,Jul
2016-7,Staten Island,6.272873563218391,0,0,21.60942528735632,29.858620689655172,25.734022988505746,0,5,7,435,Jul
2016-8,Bronx,1.0665059466409514,0,0,21.749517839922856,29.59864995178399,25.67408389585342,0,2,8,6222,Aug
2016-8,Brooklyn,0.8274678111587982,0,0,21.916523605150214,30.147026364193746,26.03177498467198,0,1,8,3262,Aug
2016-8,Manhattan,0.5420003984857541,0,0,21.7842797369994,29.79896393703925,25.791621837019328,0,1,8,5019,Aug
2016-8,Queens,0.691638795986622,0,0,21.864682274247492,30.24675585284281,26.05571906354515,0,4,8,1495,Aug
2016-8,Staten Island,0.7033033033033033,0,0,21.802702702702703,29.92072072072072,25.861711711711713,0,5,8,333,Aug
2016-9,Bronx,3.3229078868151714,0,0,17.864268512944008,25.690758579169174,21.77751354605659,0,2,9,3322,Sep
2016-9,Brooklyn,2.870425321463897,0,0,18.613979558193208,26.535839103198153,22.574909330695682,0,1,9,3033,Sep
2016-9,Manhattan,3.4892054794520546,0,0,17.734164383561644,25.72331506849315,21.7287397260274,0,1,9,7300,Sep
2016-9,Queens,2.7733181299885974,0,0,17.95176738882554,25.842474344355757,21.897120866590647,0,4,9,3508,Sep
2016-9,Staten Island,0.976774193548387,0,0,19.058494623655914,27.186236559139786,23.122365591397852,0,5,9,465,Sep
2017-1,Bronx,5.675931336742147,2.220598977355734,3.389335281227173,1.8802045288531775,7.3505113221329434,4.61535792549306,0,2,1,5476,Jan
2017-1,Brooklyn,5.5501568291987455,2.9669232962646137,2.6746506986027945,1.8292272597661818,7.155945252352438,4.49258625605931,0,1,1,3507,Jan
2017-1,Manhattan,5.302068173113749,2.4881909868505043,7.3164815524064855,1.5379037405847058,7.649597855227882,4.593750797906294,0,1,1,7833,Jan
2017-1,Queens,5.186836027713626,2.153579676674365,5.4734411085450345,1.6240184757505773,7.1633371824480365,4.393677829099307,0,4,1,1732,Jan
2017-1,Staten Island,2.5384313725490197,3.4248366013071894,1.6862745098039216,1.8833986928104576,7.708366013071895,4.7958823529411765,0,5,1,765,Jan
2017-10,Bronx,0.6275038920601972,0,0,12.956305137519461,21.506244594360837,17.23127486594015,0,2,10,5781,Oct
2017-10,Brooklyn,0.9531706712905623,0,0,12.512212038642556,20.395739410453306,16.45397572454793,0,1,10,8074,Oct
2017-10,Manhattan,0.6457200402819738,0,0,12.471227161559488,20.796360235937275,16.63379369874838,0,1,10,6951,Oct
2017-10,Queens,0.8393103448275862,0,0,12.41320197044335,20.463251231527092,16.43822660098522,0,4,10,1015,Oct
2017-10,Staten Island,11.375061124694376,0,0,13.091687041564793,20.628117359413203,16.859902200488996,0,5,10,409,Oct
2017-11,Bronx,0.7097799511002445,0,0,4.370584916306187,12.754278728606357,8.562431822456272,0,2,11,5317,Nov
2017-11,Brooklyn,0.6477970878346642,0,0,4.508398309065289,12.972127759511508,8.740263034288398,0,1,11,10645,Nov
2017-11,Manhattan,0.5922505650629641,0,0,5.016919599612528,13.388924765902486,9.202922182757508,0,1,11,6194,Nov
2017-11,Queens,0.7040586245772266,0,0,4.859075535512965,13.417587373167981,9.138331454340474,0,4,11,887,Nov
2017-11,Staten Island,1.0527777777777778,0,0,3.6186507936507937,12.32857142857143,7.973611111111111,0,5,11,252,Nov
2017-12,Bronx,1.6655289598108747,1.6578014184397163,4.250886524822695,1.2443853427895981,7.49113475177305,4.367760047281324,0,2,12,6768,Dec
2017-12,Brooklyn,1.6728347958794354,1.6222815719191148,4.162533384204502,0.9732290474373649,7.0060282334986645,3.989628640468015,0,1,12,7863,Dec
2017-12,Manhattan,1.5840800347977382,1.4132231404958677,3.9995650282731625,0.4659634623749457,6.715332753371031,3.5906481078729886,0,1,12,4598,Dec
2017-12,Queens,1.7869595536959555,2.2384937238493725,6.283124128312413,0.848884239888424,6.211924686192469,3.5304044630404463,0,4,12,1434,Dec
2017-12,Staten Island,0.2942307692307692,3.4615384615384617,4.663461538461538,-0.34759615384615383,5.456730769230769,2.5545673076923077,0,5,12,208,Dec
2017-2,Bronx,0.49184989254422223,0,5.149611506034055,2.2158703918002973,9.66634154405687,5.941105967928584,0,2,2,6049,Feb
2017-2,Brooklyn,0.37604917337855026,0,4.631199660873251,2.1854175498092414,9.54175498092412,5.86358626536668,0,1,2,4718,Feb
2017-2,Manhattan,0.7008154084071418,2.04962744271053,6.159145227049065,2.1008857022353435,9.529818641923239,5.815352172079291,0,1,2,7113,Feb
2017-2,Queens,0.4929288103201147,0,5.3989488772097465,2.4124223602484474,9.459722885809843,5.936072623029145,0,4,2,2093,Feb
2017-2,Staten Island,0.45934684684684685,0,7.9391891891891895,3.154391891891892,10.815653153153153,6.985022522522523,0,5,2,888,Feb
